County,Precinct,Kelly Mazeski,Amanda Howland,Sean Casten,Jennifer Zordani,Becky Anderson Wilkins,Ryan Huffman,Carole Cheney,Peter J. Roskam
dupage,Downers Grove 97,38,16,37,8,6,3,14,81
dupage,Downers Grove 92,23,13,51,2,4,5,13,82
dupage,Naperville 96,3,1,11,3,14,2,12,40
dupage,Naperville 95,10,5,25,3,32,3,30,71
dupage,Downers Grove 61,31,11,43,17,2,2,19,120
dupage,Downers Grove 63,23,12,29,6,12,1,9,60
dupage,Downers Grove 65,18,10,61,1,20,2,21,98
dupage,Downers Grove 64,27,11,56,4,6,1,13,129
dupage,Downers Grove 67,23,7,13,2,3,5,13,46
dupage,Downers Grove 66,16,8,15,4,4,1,18,87
dupage,Downers Grove 69,22,4,19,6,4,5,14,55
dupage,York 56,35,20,26,10,7,1,15,61
dupage,Milton 20,14,8,26,0,8,3,13,98
dupage,Milton 21,14,5,63,4,3,1,15,48
dupage,Milton 22,23,13,27,1,6,7,20,103
dupage,Milton 23,29,4,22,5,2,1,46,122
dupage,Milton 24,30,15,31,5,3,2,20,55
dupage,Milton 25,23,4,38,1,4,1,22,151
dupage,Milton 26,26,18,12,4,3,5,13,63
dupage,Milton 27,26,14,45,3,4,3,36,66
dupage,Milton 28,16,12,11,3,9,0,20,100
dupage,Milton 29,16,15,35,0,2,3,11,79
dupage,Milton 64,13,6,57,3,5,1,26,59
dupage,Naperville 26,9,3,26,0,29,0,16,46
dupage,Naperville 22,15,12,19,2,22,0,19,58
dupage,Lisle 32,18,2,27,4,7,2,19,45
dupage,Lisle 31,17,12,27,2,37,2,37,102
dupage,Downers Grove 109,20,8,23,2,13,1,11,101
dupage,Lisle 37,18,7,22,1,31,1,18,94
dupage,Downers Grove 105,31,16,58,11,16,10,20,85
dupage,Lisle 38,28,13,38,1,22,5,15,79
dupage,Downers Grove 106,30,7,21,1,7,2,12,91
dupage,Downers Grove 103,21,9,41,9,3,3,12,83
dupage,Downers Grove 102,22,8,19,4,7,1,4,91
dupage,Wayne 48,35,7,15,2,0,1,10,149
dupage,Wayne 49,19,12,17,3,6,6,8,89
dupage,Wayne 46,20,14,16,3,0,6,5,61
dupage,Wayne 47,10,5,8,4,5,0,5,36
dupage,Wayne 44,18,10,18,4,5,3,7,62
dupage,Wayne 42,12,9,26,5,7,6,13,58
dupage,Wayne 43,14,7,7,3,2,1,14,55
dupage,Wayne 40,33,16,21,5,3,3,9,79
dupage,Milton 9,19,6,34,5,2,2,30,90
dupage,Milton 8,21,17,44,2,7,2,26,121
dupage,Milton 1,18,15,42,2,5,1,25,83
dupage,Milton 3,11,2,15,1,3,0,21,94
dupage,Milton 2,17,6,47,7,8,4,41,88
dupage,Milton 5,20,3,14,4,2,4,2,84
dupage,Milton 4,12,7,22,1,7,0,9,115
dupage,Milton 7,12,15,34,3,4,3,28,103
dupage,Milton 6,12,11,68,5,2,3,33,64
dupage,Milton 108,21,11,26,2,2,6,25,80
dupage,Milton 109,18,4,24,1,5,4,22,148
dupage,Winfield 41,7,2,8,0,6,4,9,44
dupage,Winfield 40,15,2,23,5,3,3,9,44
dupage,Milton 102,16,6,9,1,1,1,17,122
dupage,Milton 100,11,11,23,2,5,1,18,84
dupage,Milton 106,10,8,23,6,5,1,19,145
dupage,Milton 107,11,8,24,2,6,1,23,134
dupage,Milton 104,18,11,27,3,7,2,9,58
dupage,Milton 105,19,6,30,1,6,5,21,55
