Precinct,Registered Voters,Kelly Mazeski,Amanda Howland,Sean Casten,Jennifer Zordani,Becky Anderson Wilkins,Ryan Huffman,Carole Cheney,
Downers Grove 87,961,50,14,41,9,9,5,23,
Downers Grove 92,600,23,13,51,2,4,5,13,
Downers Grove 94,887,32,11,68,9,16,1,20,
Downers Grove 96,697,28,8,78,4,13,2,19,
Downers Grove 97,700,38,16,37,8,6,3,14,
Downers Grove 98,726,25,8,47,5,4,2,5,
Downers Grove 102,601,22,8,19,4,7,1,4,
Downers Grove 103,716,21,9,41,9,3,3,12,
Downers Grove 105,931,31,16,58,11,16,10,20,
Downers Grove 106,697,30,7,21,1,7,2,12,
Downers Grove 107,814,18,11,32,2,10,6,23,
Downers Grove 109,592,20,8,23,2,13,1,11,
Downers Grove 112,801,30,15,41,8,1,3,12,
Downers Grove 113,600,13,5,13,4,1,3,5,
Downers Grove 115,731,34,15,18,8,2,1,10,
Downers Grove 118,894,36,10,23,3,6,2,10,
Downers Grove 119,621,5,3,4,2,0,2,3,
Downers Grove 120,480,14,8,33,5,5,6,11,
Downers Grove 121,599,13,9,48,3,13,0,25,
Downers Grove 127,665,23,13,29,12,6,3,20,
Downers Grove 129,776,19,17,54,5,8,2,16,
Downers Grove 130,750,34,15,19,2,4,2,11,
Downers Grove 131,792,31,11,31,11,5,4,24,
Downers Grove 132,537,2,1,2,0,1,1,0,
Downers Grove 140,630,25,7,42,3,7,2,10,
Downers Grove 141,470,16,6,23,5,3,2,1,
Downers Grove 142,550,23,8,10,6,7,1,7,
Downers Grove 145,692,32,13,45,8,11,2,15,
Downers Grove 146,822,22,25,47,2,10,5,12,
Downers Grove 147,466,8,3,14,7,6,1,16,
Downers Grove 148,527,14,8,44,1,2,1,5,
Downers Grove 149,736,40,6,62,5,6,4,15,
Downers Grove 151,521,17,3,27,3,1,0,12,
Downers Grove 154,571,25,8,12,4,3,1,6,
