County,Precinct,Leslie Coolidge,Peter J. Roskam
dupage,Milton 097,250,333
dupage,Milton 090,209,488
dupage,Milton 091,87,201
dupage,Milton 092,136,239
dupage,Milton 093,219,254
dupage,Wayne 021,330,425
dupage,Wayne 020,251,278
dupage,Wayne 023,216,341
dupage,Wayne 022,153,337
dupage,Wayne 025,250,315
dupage,Milton 099,228,350
dupage,Wayne 026,155,234
dupage,York 077,204,274
dupage,Downers Grove 061,227,378
dupage,Milton 018,201,466
dupage,Milton 019,210,449
dupage,York 086,343,340
dupage,Milton 014,166,325
dupage,Milton 015,235,352
dupage,Milton 016,175,313
dupage,Milton 017,233,456
dupage,Milton 010,202,281
dupage,Milton 011,177,239
dupage,Milton 012,155,225
dupage,Milton 013,222,311
mchenry,Algonquin 46,283,432
mchenry,Algonquin 44,219,286
mchenry,Algonquin 45,241,396
mchenry,Algonquin 42,346,429
mchenry,Algonquin 43,327,405
mchenry,Algonquin 40,230,187
mchenry,Algonquin 41,385,409
mchenry,Algonquin 60,126,152
mchenry,Algonquin 61,194,215
mchenry,Algonquin 62,289,391
mchenry,Algonquin 63,352,419
mchenry,Algonquin 64,170,249
mchenry,Algonquin 65,242,581
mchenry,Algonquin 48,333,455
mchenry,Algonquin 49,158,354
mchenry,Algonquin 24,270,248
mchenry,Algonquin 25,178,174
mchenry,Algonquin 26,199,203
mchenry,Algonquin 27,218,253
mchenry,Algonquin 20,116,133
mchenry,Algonquin 21,248,286
mchenry,Algonquin 22,172,166
mchenry,Algonquin 23,264,392
mchenry,Algonquin 55,294,416
mchenry,Algonquin 28,267,323
mchenry,Algonquin 29,159,188
mchenry,Algonquin 54,273,363
mchenry,Algonquin 68,325,541
mchenry,Algonquin 1,158,166
mchenry,Algonquin 59,407,362
mchenry,Algonquin 3,203,201
mchenry,Algonquin 2,267,254
mchenry,Algonquin 5,290,389
mchenry,Algonquin 4,299,273
mchenry,Algonquin 7,134,201
mchenry,Algonquin 6,231,255
mchenry,Algonquin 9,212,306
mchenry,Algonquin 8,244,302
mchenry,Algonquin 51,309,432
mchenry,Algonquin 50,214,388
mchenry,Algonquin 53,196,195
mchenry,Algonquin 52,296,311
mchenry,Algonquin 19,193,195
mchenry,Algonquin 18,156,198
mchenry,Algonquin 57,378,379
mchenry,Algonquin 56,212,201
mchenry,Algonquin 15,195,199
mchenry,Algonquin 14,217,319
mchenry,Algonquin 17,271,537
mchenry,Algonquin 16,197,426
mchenry,Algonquin 11,360,283
mchenry,Algonquin 10,296,233
mchenry,Algonquin 13,236,249
mchenry,Algonquin 12,274,308
mchenry,Algonquin 37,106,79
mchenry,Algonquin 36,201,279
mchenry,Algonquin 35,329,352
mchenry,Algonquin 34,255,226
mchenry,Algonquin 33,286,427
mchenry,Algonquin 32,208,252
mchenry,Algonquin 31,323,413
mchenry,Algonquin 30,262,409
mchenry,Algonquin 67,207,440
mchenry,Algonquin 39,263,243
mchenry,Algonquin 38,236,298
mchenry,Algonquin 47,340,462
mchenry,Algonquin 58,264,439
mchenry,Algonquin 66,195,270
