County,Precinct,Leslie Coolidge,Geoffrey Petzel,Maureen E. Yates,Peter J. Roskam
dupage,York 21,9,2,8,58
dupage,Downers Grove 50,13,6,13,132
dupage,Downers Grove 82,14,4,7,170
dupage,Lisle 14,17,0,5,214
dupage,Lisle 83,8,8,9,139
dupage,Lisle 81,13,0,4,171
dupage,Milton 98,10,2,9,112
dupage,Lisle 43,14,3,7,268
dupage,Lisle 89,21,4,11,110
dupage,Lisle 88,16,3,11,88
dupage,Downers Grove 96,23,8,13,81
dupage,Winfield 17,17,1,15,130
dupage,Winfield 14,38,7,24,187
dupage,Winfield 15,15,5,8,92
dupage,Winfield 12,25,5,19,207
dupage,Winfield 13,20,6,13,62
dupage,Downers Grove 49,18,3,17,130
dupage,Winfield 18,33,5,17,178
dupage,Winfield 19,15,5,12,188
dupage,Milton 91,12,3,5,106
dupage,Milton 90,15,9,7,249
dupage,Milton 93,13,8,9,105
dupage,Milton 92,11,2,3,113
dupage,Milton 95,16,1,10,225
dupage,Milton 94,13,4,7,109
dupage,Milton 97,31,7,7,110
dupage,Milton 96,14,3,10,83
dupage,Milton 99,17,0,7,170
dupage,Bloomingdale 18,22,8,12,121
dupage,Lisle 16,24,8,15,116
dupage,Lisle 11,24,3,21,166
mchenry,Algonquin 46,8,4,8,191
mchenry,Algonquin 47,14,7,14,166
mchenry,Algonquin 44,17,2,7,88
mchenry,Algonquin 45,14,1,14,189
mchenry,Algonquin 42,11,3,5,114
mchenry,Algonquin 43,28,4,8,150
mchenry,Algonquin 40,10,2,16,73
mchenry,Algonquin 41,26,1,9,136
mchenry,Algonquin 60,10,0,7,39
mchenry,Algonquin 61,10,1,7,80
mchenry,Algonquin 62,26,3,17,158
mchenry,Algonquin 63,21,4,9,118
mchenry,Algonquin 64,7,1,8,77
mchenry,Algonquin 65,4,0,6,213
mchenry,Algonquin 48,14,2,14,181
mchenry,Algonquin 49,5,2,8,112
mchenry,Algonquin 24,11,4,5,91
mchenry,Algonquin 25,12,6,8,78
mchenry,Algonquin 26,10,3,6,88
mchenry,Algonquin 27,15,5,6,106
mchenry,Algonquin 20,2,4,3,57
mchenry,Algonquin 21,11,5,6,87
mchenry,Algonquin 22,14,4,9,69
mchenry,Algonquin 23,14,2,7,168
mchenry,Algonquin 55,9,6,13,163
mchenry,Algonquin 28,18,5,8,124
mchenry,Algonquin 29,14,1,8,74
mchenry,Algonquin 54,14,3,11,112
mchenry,Algonquin 68,10,1,10,157
mchenry,Algonquin 1,7,6,5,61
mchenry,Algonquin 59,18,3,9,82
mchenry,Algonquin 3,5,3,8,96
mchenry,Algonquin 2,14,6,13,126
mchenry,Algonquin 5,9,3,8,144
mchenry,Algonquin 4,28,4,24,124
mchenry,Algonquin 7,8,2,5,97
mchenry,Algonquin 6,13,4,6,113
mchenry,Algonquin 9,16,3,10,131
mchenry,Algonquin 8,10,2,8,100
mchenry,Algonquin 51,12,2,12,160
mchenry,Algonquin 50,10,0,7,128
mchenry,Algonquin 53,4,1,6,46
mchenry,Algonquin 52,10,2,13,92
mchenry,Algonquin 19,8,6,5,75
mchenry,Algonquin 18,10,2,3,81
mchenry,Algonquin 57,10,3,4,105
mchenry,Algonquin 56,4,3,3,84
mchenry,Algonquin 15,8,4,9,70
mchenry,Algonquin 14,3,7,10,114
mchenry,Algonquin 17,14,9,6,213
mchenry,Algonquin 16,28,3,2,176
mchenry,Algonquin 11,10,2,14,112
mchenry,Algonquin 10,19,4,9,112
mchenry,Algonquin 13,7,2,7,86
mchenry,Algonquin 12,11,3,10,129
mchenry,Algonquin 37,2,1,4,33
mchenry,Algonquin 36,8,4,5,138
mchenry,Algonquin 35,18,9,15,115
mchenry,Algonquin 34,18,4,8,74
mchenry,Algonquin 33,17,4,12,147
mchenry,Algonquin 32,13,1,7,94
mchenry,Algonquin 31,17,2,7,149
mchenry,Algonquin 30,22,5,10,165
mchenry,Algonquin 67,5,1,3,144
mchenry,Algonquin 39,4,0,5,71
mchenry,Algonquin 38,16,5,6,117
mchenry,Algonquin 58,9,0,6,147
mchenry,Algonquin 66,8,0,4,78
