County,PrecinctName,Registration,PartyName,VoteCount,Priority
McHENRY,Algonquin 61,712,Republican,0,
McHENRY,Algonquin 61,712,Republican,0,
McHENRY,Algonquin 64,699,Republican,50,
McHENRY,Algonquin 64,699,Republican,10,
McHENRY,Algonquin 64,699,Republican,0,
McHENRY,Algonquin 64,699,Republican,0,
McHENRY,Algonquin 9,824,Republican,85,
McHENRY,Algonquin 9,824,Republican,13,
McHENRY,Algonquin 9,824,Republican,0,
McHENRY,Algonquin 9,824,Republican,0,
McHENRY,Algonquin 27,850,Republican,57,
McHENRY,Algonquin 27,850,Republican,10,
McHENRY,Algonquin 27,850,Republican,0,
McHENRY,Algonquin 27,850,Republican,0,
McHENRY,Algonquin 33,1108,Republican,100,
McHENRY,Algonquin 33,1108,Republican,24,
McHENRY,Algonquin 33,1108,Republican,0,
McHENRY,Algonquin 33,1108,Republican,0,
McHENRY,Algonquin 1,632,Republican,49,
McHENRY,Algonquin 1,632,Republican,13,
McHENRY,Algonquin 1,632,Republican,0,
McHENRY,Algonquin 1,632,Republican,0,
McHENRY,Algonquin 53,823,Republican,42,
McHENRY,Algonquin 53,823,Republican,5,
McHENRY,Algonquin 53,823,Republican,0,
McHENRY,Algonquin 53,823,Republican,0,
McHENRY,Algonquin 59,1378,Republican,69,
McHENRY,Algonquin 59,1378,Republican,7,
McHENRY,Algonquin 59,1378,Republican,0,
McHENRY,Algonquin 59,1378,Republican,0,
McHENRY,Algonquin 22,605,Republican,46,
McHENRY,Algonquin 22,605,Republican,11,
McHENRY,Algonquin 22,605,Republican,0,
McHENRY,Algonquin 22,605,Republican,0,
McHENRY,Algonquin 12,926,Republican,90,
McHENRY,Algonquin 12,926,Republican,13,
McHENRY,Algonquin 12,926,Republican,0,
McHENRY,Algonquin 12,926,Republican,0,
McHENRY,Algonquin 15,801,Republican,64,
McHENRY,Algonquin 15,801,Republican,4,
McHENRY,Algonquin 15,801,Republican,0,
McHENRY,Algonquin 15,801,Republican,0,
McHENRY,Algonquin 18,692,Republican,71,
McHENRY,Algonquin 18,692,Republican,10,
McHENRY,Algonquin 68,1475,Democrat,0,
McHENRY,Algonquin 68,1475,Democrat,35,
McHENRY,Algonquin 68,1475,Democrat,38,
